timestamp,host_hash,is_malicious,attack_type,attack_start_time
2024-01-15T10:00:00,host_demo2,false,benign,
2024-01-15T10:05:00,host_demo2,false,benign,
2024-01-15T10:10:00,host_demo2,false,benign,
2024-01-15T10:15:00,host_demo2,false,benign,
2024-01-15T10:20:00,host_demo2,false,benign,
2024-01-15T10:25:00,host_demo2,false,benign,
2024-01-15T10:30:00,host_demo2,false,benign,
2024-01-15T10:35:00,host_demo2,false,benign,
2024-01-15T10:40:00,host_demo2,false,benign,
2024-01-15T10:45:00,host_demo2,false,benign,
